"ID";"Month";"Year";"Season";"Ontogeny";"Site";"TL";"Weight";"Elapsed_Time";"Mg24";"Sr87";"Ba138"
"ID012";"JUL";2022;"Late dry";"Juvenile";"Sao Mateus";187;103.18;0;475.7;1983.6;0.4
"ID012";"JUL";2022;"Late dry";"Juvenile";"Sao Mateus";187;103.18;2.3;464.7;2071;0.6
"ID012";"JUL";2022;"Late dry";"Juvenile";"Sao Mateus";187;103.18;4.5;468.4;2237.4;0.7
"ID012";"JUL";2022;"Late dry";"Juvenile";"Sao Mateus";187;103.18;6.8;492.6;2371.5;0.8
"ID012";"JUL";2022;"Late dry";"Juvenile";"Sao Mateus";187;103.18;9.1;487.9;2195.7;0.6
"ID012";"JUL";2022;"Late dry";"Juvenile";"Sao Mateus";187;103.18;11.3;488.1;2199.1;0.5
"ID012";"JUL";2022;"Late dry";"Juvenile";"Sao Mateus";187;103.18;13.6;406.6;1807.6;0.4
"ID012";"JUL";2022;"Late dry";"Juvenile";"Sao Mateus";187;103.18;15.8;377.3;2075;0.9
"ID012";"JUL";2022;"Late dry";"Juvenile";"Sao Mateus";187;103.18;18.1;327.4;2080;1.5
"ID012";"JUL";2022;"Late dry";"Juvenile";"Sao Mateus";187;103.18;20.4;318.8;2559.3;3.1
"ID012";"JUL";2022;"Late dry";"Juvenile";"Sao Mateus";187;103.18;22.6;314.8;2786.8;3.2
"ID012";"JUL";2022;"Late dry";"Juvenile";"Sao Mateus";187;103.18;24.9;261.6;2687.6;2.3
"ID012";"JUL";2022;"Late dry";"Juvenile";"Sao Mateus";187;103.18;27.2;268.2;2817;2.1
"ID012";"JUL";2022;"Late dry";"Juvenile";"Sao Mateus";187;103.18;29.4;264.4;2494.7;1.8
"ID012";"JUL";2022;"Late dry";"Juvenile";"Sao Mateus";187;103.18;31.7;252.9;2401.2;2.1
"ID012";"JUL";2022;"Late dry";"Juvenile";"Sao Mateus";187;103.18;34;260.6;2685.4;2.5
"ID012";"JUL";2022;"Late dry";"Juvenile";"Sao Mateus";187;103.18;36.2;269.1;2418;2.1
"ID012";"JUL";2022;"Late dry";"Juvenile";"Sao Mateus";187;103.18;38.5;234;2568.1;2
"ID012";"JUL";2022;"Late dry";"Juvenile";"Sao Mateus";187;103.18;40.7;264.1;2677.8;1.9
"ID012";"JUL";2022;"Late dry";"Juvenile";"Sao Mateus";187;103.18;43;254.8;2649.7;1.6
"ID012";"JUL";2022;"Late dry";"Juvenile";"Sao Mateus";187;103.18;45.3;227.9;2252.3;1.5
"ID012";"JUL";2022;"Late dry";"Juvenile";"Sao Mateus";187;103.18;47.5;243.9;2227.7;1.5
"ID012";"JUL";2022;"Late dry";"Juvenile";"Sao Mateus";187;103.18;49.8;254.2;2343.8;1.8
"ID012";"JUL";2022;"Late dry";"Juvenile";"Sao Mateus";187;103.18;52.1;238.7;2659.5;2.3
"ID012";"JUL";2022;"Late dry";"Juvenile";"Sao Mateus";187;103.18;54.3;254.5;2844.6;2.6
"ID012";"JUL";2022;"Late dry";"Juvenile";"Sao Mateus";187;103.18;56.6;234.6;2791.3;2.9
"ID012";"JUL";2022;"Late dry";"Juvenile";"Sao Mateus";187;103.18;58.9;235.2;2885;5.3
"ID012";"JUL";2022;"Late dry";"Juvenile";"Sao Mateus";187;103.18;61.1;222.7;2988.6;6.3
"ID012";"JUL";2022;"Late dry";"Juvenile";"Sao Mateus";187;103.18;63.4;232.7;2635.9;7.9
"ID012";"JUL";2022;"Late dry";"Juvenile";"Sao Mateus";187;103.18;65.6;227.7;2559.9;12.9
"ID012";"JUL";2022;"Late dry";"Juvenile";"Sao Mateus";187;103.18;67.9;241.3;2915.8;17.9
"ID012";"JUL";2022;"Late dry";"Juvenile";"Sao Mateus";187;103.18;70.2;230.6;2986;18.3
"ID012";"JUL";2022;"Late dry";"Juvenile";"Sao Mateus";187;103.18;72.4;241.6;3230.2;15.4
"ID012";"JUL";2022;"Late dry";"Juvenile";"Sao Mateus";187;103.18;74.7;226.4;3064.5;11.3
"ID012";"JUL";2022;"Late dry";"Juvenile";"Sao Mateus";187;103.18;77;224.8;3363.3;8.3
