Sample;Month;Year;Season;site;tide;Temp;Sal;Mg24w;Ca43w;Mn55w;Cu65w;Zn66w;Ba138w;MgCa;MnCa;CuCa;ZnCa;BaCa
A001;JUL;2022;Late dry;Sao Mateus;low;24.03;4;10593.12012;293.1351083;3.449018409;0.048171251;0.249161556;0.297695117;36137329.94;11765.96836;164.3312245;849.9887908;1015.555995
A008;AUG;2022;Late dry;Sao Mateus;low;22.42;29;10784.50753;333.7571939;1.156610071;0.029651726;0.18035791;0.191756841;32312434.69;3465.423643;88.842209;540.3865832;574.5399485
A016;SEP;2022;Late dry;Sao Mateus;low;21.78;11;6651.322395;144.0279385;0.261521548;0.020242219;0.140580073;0.650309755;46180778.98;1815.76957;140.543698;976.0611371;4515.163943
A018;OCT;2022;Early wet;Sao Mateus;low;27.64;21;10727.06188;234.3822069;0.524918631;0.026163017;0.156629164;0.271847482;45767390.05;2239.583959;111.6254398;668.2638842;1159.846925
A030;NOV;2022;Early wet;Sao Mateus;low;27.761;4;6281.001023;143.7752805;1.502404519;0.04310784;0.189650237;1.81487552;43686237.29;10449.67197;299.8278967;1319.074016;12623.00107
A031;NOV;2022;Early wet;Sao Mateus;gradient;28.04;1.07;1920.231601;51.36717106;1.483632799;0.038895525;0.252442636;2.884893908;37382467.46;28882.89872;757.2058955;4914.474181;56162.21117
A032;NOV;2022;Early wet;Sao Mateus;gradient;28.21;7.22;9665.865771;224.6065979;0.929311546;0.028240475;0.160935646;0.465620688;43034647.51;4137.507777;125.7330617;716.5223439;2073.04991
A033;NOV;2022;Early wet;Sao Mateus;gradient;27.97;11.33;9472.116997;259.3270557;0.730282757;0.030327736;0.162288785;0.265181793;36525756.91;2816.068517;116.947827;625.8073769;1022.576654
A034;NOV;2022;Early wet;Sao Mateus;gradient;27.94;16;10470.42309;299.7093579;0.555580515;0.038221848;0.161866036;0.207216542;34935255.83;1853.730957;127.5297132;540.0766847;691.3916313
A035;NOV;2022;Early wet;Sao Mateus;gradient;28.15;21;11218.77404;327.1248012;0.677213716;0.019157793;0.126328227;0.165463871;34295088.58;2070.199854;58.56417139;386.1774667;505.8126748
A036;NOV;2022;Early wet;Sao Mateus;gradient;27.59;35;11124.71047;382.1876216;0.18147798;0.014176624;0.151034206;0.122065843;29107982.16;474.8400249;37.09336157;395.1834063;319.3872215
